Date,USD,CRUDE,GOLD
8/24/2016,67.16699811,3175.398024,3120.61164
8/25/2016,67.01599873,3153.983373,3096.943626
8/26/2016,67.13600102,3195.202672,3108.061067
8/29/2016,67.11299943,3163.293467,3099.218377
8/30/2016,67.14399782,3157.192217,3094.40408
8/31/2016,66.97300117,3062.756367,3077.245004
9/1/2016,66.80099902,2969.707996,3073.745297
9/2/2016,66.79500213,2941.183762,3087.229674
9/5/2016,66.46999966,3007.720125,3096.934035
9/6/2016,66.279998,2973.379049,3111.571624
9/7/2016,66.4780021,3000.435533,3135.572759
9/8/2016,66.63100131,3107.423967,3130.203964
9/9/2016,66.89500161,3120.435439,3121.85863
9/12/2016,66.73800069,3052.35503,3110.565034
9/13/2016,67.13999918,3032.448228,3110.458606
9/14/2016,66.79800044,2982.109183,3105.320034
9/15/2016,66.85999904,2939.213137,3098.747796
9/16/2016,67.07500139,2904.470387,3086.838953
9/19/2016,66.9799991,2944.304847,3092.604963
9/20/2016,66.98500172,2947.092127,3095.227778
9/21/2016,66.74400072,3036.989932,3111.629716
9/22/2016,66.63299923,3090.754879,3127.795467
9/23/2016,66.70700217,3057.579135,3128.656617
9/26/2016,66.61299879,3034.315629,3130.223561
9/27/2016,66.42499923,3005.208887,3112.142959
9/28/2016,66.34900092,3018.27342,3097.250571
9/29/2016,66.81200058,3170.813083,3109.878217
9/30/2016,66.55600178,3191.340202,3112.259189
10/3/2016,66.54600102,3227.441849,3090.760172
10/4/2016,66.60900103,3248.579678,3047.944162
10/5/2016,66.57200128,3308.034029,2997.835563
10/6/2016,66.69700046,3341.145458,2976.597987
10/7/2016,66.60200056,3354.130998,2963.586414
10/10/2016,66.49200105,3364.776532,2971.512113
10/11/2016,66.83400118,3402.427447,2970.699986
10/12/2016,66.81200058,3369.187171,2967.103721
10/13/2016,66.79399829,3351.486101,2979.498074
10/14/2016,66.71699797,3377.317964,2963.120996
10/17/2016,66.78900186,3344.422507,2967.279806
10/18/2016,66.73299927,3352.238906,2977.067648
10/19/2016,66.64499816,3433.800514,2988.848606
10/20/2016,66.82999918,3422.794632,2996.102071
10/21/2016,66.92600046,3399.621756,2990.260721
10/24/2016,66.84500021,3377.879307,2981.194624
10/25/2016,66.80600172,3378.055576,2986.304806
10/26/2016,66.86299872,3314.625711,2991.27147
10/27/2016,66.88099797,3323.157023,2990.117661
10/28/2016,66.77799895,3307.779583,2992.273949
11/1/2016,66.69599957,3138.772057,3017.811121
11/2/2016,66.76199835,3057.371576,3049.412683
11/3/2016,66.66800003,3030.880892,3040.631965
11/4/2016,66.79600154,2967.204595,3052.02792
11/7/2016,66.7449986,2984.868446,3018.813244
11/8/2016,66.24600015,2997.595826,3004.22093
11/9/2016,66.51499917,2984.679158,3060.340738
11/10/2016,66.86500163,3012.911534,2999.814012
11/11/2016,67.56500192,2972.235684,2966.364394
11/14/2016,67.7850017,2910.467451,2938.998154
11/15/2016,67.78599879,3038.215894,2931.382205
11/16/2016,67.99899824,3112.204784,2937.38379
11/17/2016,68.02299994,3123.493994,2928.935244
11/18/2016,68.19099917,3098.757264,2890.925385
11/21/2016,68.22800079,3252.377958,2907.838952
11/22/2016,68.39600026,3308.369747,2916.242596
11/23/2016,68.78399864,3305.979969,2895.41193
11/24/2016,68.76099832,3311.345176,2870.741972
11/25/2016,68.51900018,3241.501429,2853.579959
11/28/2016,68.57900126,3205.378476,2874.92633
11/29/2016,68.6149987,3162.252365,2863.778641
11/30/2016,68.59800226,3293.194843,2846.610399
12/1/2016,68.23599912,3452.339338,2806.001476
12/2/2016,68.03100118,3481.008549,2808.704738
12/5/2016,68.02499892,3543.361374,2796.764703
12/6/2016,67.74199864,3466.691809,2793.163453
12/7/2016,67.43800003,3425.900251,2791.097515
12/8/2016,67.54599849,3391.928896,2783.236013
12/9/2016,67.47000048,3470.12741,2767.760024
12/12/2016,67.43100156,3611.36541,2754.441537
12/13/2016,67.41100096,3576.45522,2755.428194
12/14/2016,67.47499916,3533.808768,2761.302009
12/15/2016,67.8570006,3452.062885,2709.5131
12/16/2016,67.85500227,3483.55398,2711.57027
12/19/2016,67.84399978,3549.602948,2722.23659
12/20/2016,67.91700054,3639.995605,2710.071166
12/21/2016,67.83699963,3627.931708,2709.212134
12/22/2016,67.84799985,3589.518741,2695.781103
12/23/2016,67.83699963,3584.682837,2696.050017
12/26/2016,67.76000139,3612.205362,2696.988004
12/27/2016,67.97799851,3647.746035,2721.673503
12/28/2016,68.23300069,3693.73265,2727.709161
12/29/2016,67.93499952,3673.854214,2744.387727
12/30/2016,67.9549983,3659.877163,2754.198776
1/2/2017,68.14499975,3677.449128,2752.333979
1/3/2017,68.2600007,3697.97925,2760.829353
1/4/2017,67.88599877,3594.170583,2772.271738
1/5/2017,67.74299905,3631.346528,2788.210331
1/6/2017,68.11500046,3673.900144,2788.591315
1/9/2017,68.09999913,3618.817166,2794.271743
1/10/2017,68.32699908,3546.354702,2811.681976
1/11/2017,68.31200223,3533.773109,2821.423634
1/12/2017,68.14100172,3601.894497,2842.637285
1/13/2017,68.17999902,3598.182095,2834.169886
1/16/2017,68.10299979,3573.186495,2853.922002
1/17/2017,67.86200153,3600.722178,2870.049881
1/18/2017,68.21999968,3540.336989,2875.290045
1/19/2017,68.09999913,3529.386509,2856.35124
1/20/2017,68.07500231,3620.082078,2861.467761
1/23/2017,68.05100096,3606.641817,2878.874245
1/24/2017,68.13799771,3633.169759,2874.504867
1/25/2017,67.98799985,3618.146796,2849.790398
1/27/2017,68.10499884,3644.434813,2819.625723
2/1/2017,67.41500013,3594.08462,2880.441514
2/2/2017,67.21000128,3630.983776,2893.845081
2/3/2017,67.18400139,3621.118743,2884.745753
2/6/2017,67.19499854,3610.686234,2907.238734
2/7/2017,67.34999976,3542.224869,2927.871876
2/8/2017,67.05000046,3493.961457,2933.635302
2/9/2017,66.76499816,3538.382291,2923.77998
2/10/2017,66.85400049,3588.652853,2903.465577
2/13/2017,66.97500171,3576.281771,2907.162667
2/14/2017,66.83500176,3567.753693,2907.517678
2/15/2017,66.87500013,3552.064725,2901.755272
2/16/2017,67.08000021,3568.91201,2931.193171
2/17/2017,67.08000021,3576.572525,2938.005153
2/20/2017,66.90500012,3627.30339,2925.148378
2/21/2017,66.98500172,3662.97902,2919.111422
2/22/2017,66.94999906,3621.877096,2925.38798
2/23/2017,66.68999927,3641.367688,2935.236932
2/24/2017,66.64499816,3613.060568,2959.718235
2/27/2017,66.69999888,3634.601844,2964.060763
2/28/2017,66.72500211,3592.484982,2956.541792
3/1/2017,66.86500163,3622.865835,2937.789372
3/2/2017,66.78500078,3560.20501,2929.304173
3/3/2017,66.78000123,3541.733497,2906.520488
3/6/2017,66.67500104,3551.590376,2906.841542
3/7/2017,66.62499939,3563.942161,2884.795684
3/8/2017,66.76499816,3496.306269,2867.342404
3/9/2017,66.68999927,3318.698555,2850.107164
3/10/2017,66.55500069,3291.315258,2833.61575
3/13/2017,66.180001,3206.184223,2826.447636
3/14/2017,65.77499886,3160.424245,2815.949538
3/15/2017,65.63000142,3190.264235,2797.327992
3/16/2017,65.38499864,3209.905278,2843.809453
3/17/2017,65.47499984,3204.661692,2849.18143
3/20/2017,65.34499872,3176.089657,2854.101201
3/21/2017,65.34499872,3205.268295,2858.147292
3/22/2017,65.45499864,3140.510812,2886.744359
3/23/2017,65.45499864,3157.863772,2885.536537
3/24/2017,65.42500048,3144.123867,2877.888321
3/27/2017,64.99499961,3106.327662,2888.053279
3/28/2017,65.04499943,3154.27885,2883.789068
3/29/2017,64.87500079,3184.30553,2869.671021
3/30/2017,64.86000001,3246.229996,2867.103996
3/31/2017,64.86000001,3267.954846,2858.220815
4/3/2017,64.98500211,3288.420182,2877.813782
4/4/2017,65.07999894,3312.262289,2905.414239
4/5/2017,64.87500079,3346.54703,2887.261115
4/6/2017,64.60599806,3333.358912,2881.537127
4/7/2017,64.26999981,3363.390684,2885.902941
4/10/2017,64.6050005,3407.398225,2871.022199
4/11/2017,64.55499947,3428.392682,2897.450533
4/12/2017,64.68999906,3458.863806,2923.762883
4/13/2017,64.44499839,3424.426063,2935.323091
4/17/2017,64.47999943,3409.573558,2943.028848
4/18/2017,64.6050005,3393.026819,2937.694439
4/19/2017,64.66500038,3373.272182,2931.511106
4/20/2017,64.62000047,3309.283767,2926.012839
4/21/2017,64.65000041,3255.774644,2932.912558
4/24/2017,64.49000018,3211.87033,2907.619125
4/25/2017,64.32999952,3176.887791,2891.360038
4/26/2017,64.13000023,3189.518425,2872.721214
4/27/2017,64.11500077,3142.274224,2877.275565
4/28/2017,64.2899983,3181.486954,2885.045367
5/1/2017,64.25500085,3150.152758,2875.83579
5/2/2017,64.16500158,3133.194084,2860.084659
5/3/2017,64.16500158,3074.74288,2852.220739
5/4/2017,64.21499798,3004.703634,2815.901962
5/5/2017,64.3150015,2937.087142,2816.322277
5/8/2017,64.35999998,2982.448749,2812.820837
5/9/2017,64.67999894,2993.860934,2807.584972
5/10/2017,64.61499832,3033.345759,2806.859966
5/11/2017,64.40499924,3091.192602,2800.01456
5/12/2017,64.24300095,3072.344123,2804.96254
5/15/2017,64.06499984,3152.06737,2806.844209
5/16/2017,64.0450016,3142.739087,2809.572776
5/17/2017,64.13000023,3141.467067,2841.231958
5/18/2017,64.88000119,3170.682817,2881.371072
5/19/2017,64.56499849,3255.832851,2865.970045
5/22/2017,64.5099985,3310.672668,2870.35469
5/23/2017,64.89499859,3318.062666,2886.97771
5/24/2017,64.76999817,3345.014349,2870.297018
5/25/2017,64.55499947,3267.33221,2871.079899
5/26/2017,64.5099985,3171.03595,2883.157172
5/29/2017,64.5400005,3230.090129,2889.714063
5/30/2017,64.63499905,3203.989265,2888.403637
5/31/2017,64.5099985,3139.232413,2883.922134
6/1/2017,64.47799966,3145.859222,2891.870086
6/2/2017,64.41500164,3062.817494,2896.678379
6/5/2017,64.3499981,3065.66235,2923.027906
6/6/2017,64.43000067,3061.711628,2946.870865
6/7/2017,64.43499913,3030.468227,2947.722148
6/8/2017,64.25000138,2948.068676,2922.780148
6/9/2017,64.24499856,2947.335139,2901.064981
6/12/2017,64.47999943,2986.295484,2898.87002
6/13/2017,64.34500039,2974.289412,2890.064824
6/14/2017,64.23499938,2925.658928,2898.626341
6/15/2017,64.56499849,2878.991507,2879.26383
6/16/2017,64.46500205,2886.266919,2873.860514
6/19/2017,64.49499964,2887.674797,2859.430401
6/20/2017,64.5400005,2831.443107,2853.734683
6/21/2017,64.5300009,2808.207121,2856.79188
6/22/2017,64.6050005,2775.535006,2868.543268
6/23/2017,64.50500088,2778.660865,2874.521392
6/26/2017,64.43499913,2789.667833,2845.014965
6/27/2017,64.47499814,2844.526288,2857.379611
6/28/2017,64.52500018,2872.217217,2864.22978
6/29/2017,64.65999962,2923.783943,2853.930147
6/30/2017,64.62000047,2944.113363,2848.337425
7/3/2017,64.84500196,3017.284629,2825.936445
7/4/2017,64.78999845,3055.606887,2813.913112
7/5/2017,64.79999902,2997.862049,2810.575634
7/6/2017,64.72499869,2977.477065,2813.453937
7/7/2017,64.62499922,2876.34003,2793.218067
7/10/2017,64.47499814,2858.254766,2770.604989
7/11/2017,64.56499849,2877.274932,2775.64978
7/12/2017,64.47499814,2955.91295,2789.781588
7/13/2017,64.45999893,2941.695527,2788.272526
7/14/2017,64.42399856,2983.932444,2792.180777
7/17/2017,64.34500039,2994.242485,2808.468093
7/18/2017,64.31599839,2983.188789,2821.447515
7/19/2017,64.26999981,3012.614831,2822.299553
7/20/2017,64.37499827,3056.741491,2824.571513
7/21/2017,64.38499963,3000.454616,2842.459523
7/24/2017,64.39499996,2975.170046,2855.975987
7/25/2017,64.38499963,3050.099838,2849.60362
7/26/2017,64.35500072,3125.655532,2836.710437
7/27/2017,64.12499963,3136.781217,2854.907872
7/28/2017,64.11500077,3173.387956,2860.043759
8/1/2017,64.09500007,3178.980223,2870.989228
8/2/2017,63.63500185,3132.143755,2858.841826
8/3/2017,63.70499998,3161.161286,2847.737188
8/4/2017,63.67499873,3126.537954,2849.481822
8/7/2017,63.84000163,3134.395701,2841.159307
8/8/2017,63.69199976,3147.433048,2843.000958
8/9/2017,63.85999845,3153.933694,2871.434396
8/10/2017,64.09500007,3176.760897,2906.385329
8/11/2017,64.13999966,3105.004286,2920.611927
8/14/2017,64.09000082,3112.745012,2908.743975
8/16/2017,64.17000019,3054.59965,2888.862568
8/17/2017,64.17000019,3004.958626,2915.562397
8/18/2017,64.09500007,3051.866899,2927.53759
8/21/2017,64.1099984,3090.009343,2918.480989
8/22/2017,64.07199847,3073.78527,2912.955076
8/23/2017,64.0450016,3082.31977,2914.483233
8/24/2017,64.0450016,3072.559715,2910.852239
8/25/2017,64.00500161,3058.360521,2909.751158
8/28/2017,63.90499934,3008.790228,2932.577119
8/29/2017,64.01499897,2976.861974,2979.293907
8/30/2017,63.98999913,2966.626566,2955.231203
8/31/2017,63.93500112,2997.636519,2957.442404
9/1/2017,64.02499946,3010.646327,2977.98081
9/4/2017,64.04000195,3043.163318,3013.85469
9/5/2017,64.10500091,3101.196371,3012.883088
9/6/2017,64.06000116,3149.898741,3019.816033
9/7/2017,64.01499897,3140.71821,3020.18997
9/8/2017,63.78500066,3107.871588,3035.850357
9/11/2017,63.93500112,3052.53014,3001.894195
9/12/2017,64.03100125,3085.85059,2988.857539
9/13/2017,64.0099999,3127.8896,2994.971443
9/14/2017,64.12300125,3202.036291,2988.759276
9/15/2017,64.1099984,3195.448184,2992.954585
9/18/2017,64.15799908,3196.673612,2966.619596
9/19/2017,64.29999807,3218.554609,2962.032665
9/20/2017,64.29299914,3262.715153,2975.384643
9/21/2017,64.80999847,3285.465355,2953.755996
9/22/2017,64.79499834,3290.153403,2964.614363
9/25/2017,65.12699928,3346.532661,2978.353328
9/26/2017,65.45999887,3408.406663,3001.515765
9/27/2017,65.71499957,3425.000003,2980.039694
9/28/2017,65.47000161,3423.657964,2964.016836
9/29/2017,65.30999946,3374.346815,2966.425991
10/3/2017,65.4849986,3314.63103,2949.626282
10/4/2017,65.03000029,3281.374403,2947.600506
10/5/2017,65.14500105,3293.951442,2943.323365
10/6/2017,65.39999948,3268.104916,2942.959558
10/9/2017,65.35500052,3241.946271,2971.379671
10/10/2017,65.25000212,3290.851793,2981.203512
10/11/2017,65.15999809,3334.17988,2977.413342
10/12/2017,65.06000126,3296.369303,2983.186759
10/13/2017,64.69999808,3328.711978,2981.043544
10/16/2017,64.69999808,3368.243119,2990.824152
10/17/2017,65.03000029,3367.085727,2968.327941
10/18/2017,65.05499847,3392.395574,2959.105167
10/19/2017,64.99499961,3355.851531,2966.346796
10/20/2017,65.03999895,3355.452143,2958.247298
10/23/2017,65.02299798,3390.724004,2946.92297
10/24/2017,65.09000027,3403.974578,2952.238683
10/25/2017,64.92500156,3398.851227,2939.697975
10/26/2017,64.83999855,3398.312529,2935.969442
10/27/2017,65.03999895,3461.882828,2926.560881
10/30/2017,64.86000001,3512.631062,2930.076651
10/31/2017,64.75000186,3511.330222,2925.079928
11/1/2017,64.56499849,3533.100581,2922.122513
11/2/2017,64.5750006,3511.942044,2926.817847
11/3/2017,64.56000068,3547.427608,2918.51506
